=HYPERLINK("https://www.pbs.org/video/episode-3-zk6bmy/";"Carmen Curlers, S01E03, Episode 3")			00:54:18			TV-MA	Axel has hit rock bottom. His customers--and his wife and son--have disappeared. As Frans tries to bring Axel out of his despair, Birthe gets a job as a clerk in the TV store.
=HYPERLINK("https://www.pbs.org/video/episode-4-y1capp/";"Carmen Curlers, S01E04, Episode 4")			00:53:48			TV-MA	Factory construction for Carmen Curlers is well underway--much to the dismay of Poul, Axel’s boyhood tormentor. But to keep things moving, Axel must pull some strings to get his curlers in stores for Christmas.
=HYPERLINK("https://www.pbs.org/video/episode-5-lwdhqr/";"Carmen Curlers, S01E05, Episode 5")			00:58:28			TV-MA	The bank has decided to loan Axel another million, Birthe is given the task of hiring a full factory staff, and Axel and Frans have promised Lundahl an advertising campaign in four days. Meanwhile, Jorgen is feeling hopeless.
=HYPERLINK("https://www.pbs.org/video/episode-6-ijmixb/";"Carmen Curlers, S01E06, Episode 6")			00:59:37			TV-MA	The Carmen Curler factory exudes life. Everyone is busy and the hallways are like a train station--but Frans has never felt so alone. Is it time for a change?
=HYPERLINK("https://www.pbs.org/video/episode-7-0ncu4k/";"Carmen Curlers, S01E07, Episode 7")			00:58:26			TV-MA	It's Christmas Eve. Axel wants Tove back, but she has other plans. Birthe celebrates Christmas with her family but discovers that Jorgen has spent most of their money on one good, last Christmas. And things aren’t going well for Carmen Curlers, either!
=HYPERLINK("https://www.pbs.org/video/episode-8-p9rwi6/";"Carmen Curlers, S01E08, Episode 8")			00:59:55			TV-MA	Axel and Frans go to Paris and come home with an order for 10,000 curler sets. Will he be able to deliver in an extremely short period of time? And is Axel really going to follow Tove to Copenhagen?
=HYPERLINK("https://www.pbs.org/show/charite/";"Charité")	3	18		Drama	German		Step into the halls of the prestigious Berlin hospital, Charité. Home to many of history’s great medical pioneers, the fictionalized lives of doctors, nurses and patients become intertwined in this charming, award-winning depiction. In German.
=HYPERLINK("https://www.pbs.org/video/compassion-barmherzigkeit-mqfx0u/";"Charité, S01E01, Compassion / Barmherzigkeit")			00:50:07			TV-MA	Ida Lenze drags herself to the Berlin Charite with acute appendicitis, where young staff doctor Emil Behring saves her life – yet he still can’t catch the eye of Robert Koch. Meanwhile, Crown Prince Friedrich may have cancer of the larynx.
=HYPERLINK("https://www.pbs.org/video/weather-for-a-kaiser-kaiserwetter-qo8uln/";"Charité, S01E02, Weather for a Kaiser / Kaiserwetter")			00:50:53			TV-MA	Ida suffers under the strict thumb of Deaconess Matron Martha but catches the eye of several suitors. The Reich suffers upheaval with the death of Friedrich, and Behring finds favor with the clinic’s director.
=HYPERLINK("https://www.pbs.org/video/the-light-of-the-world-das-licht-der-welt-h5qdpu/";"Charité, S01E03, The Light of the World / Das Licht der Welt")			00:49:36			TV-MA	Ida struggles with her feelings for Georg Tischendorf and Dr. Behring as thousands of physicians from around the world arrive in Berlin for the World Medical Convention to hear Koch speak.
=HYPERLINK("https://www.pbs.org/video/miracle-cure-wundermittel-dml8t2/";"Charité, S01E04, Miracle Cure / Wundermittel")			00:50:39			TV-MA	Treating contagious cases carries its dangers: Nurse Therese comes down with TB. On Ida's urgent encouragement, Koch dares to take the next step with his tuberculine.
=HYPERLINK("https://www.pbs.org/video/twilight-of-the-gods-gotterdammerung-wxeggw/";"Charité, S01E05, Twilight of the Gods / Götterdämmerung")			00:49:48			TV-MA	News of Koch's miracle drug travels the world. Berlin is overrun by consumption patients and doctors, but the tuberculine fails to heal more and more patients. Meanwhile, Behring's remedy does heal a diphtheria patient.
=HYPERLINK("https://www.pbs.org/video/turning-point-zeitenwende-c86rdx/";"Charité, S01E06, Turning Point / Zeitenwende")			00:50:57			TV-MA	Koch becomes an outcast, and his failure also unjustly discredits Ehrlich and Behring's work. But when Virchow gives a public endorsement of Behring's remedy it throws Behring into a manic euphoria, inconsiderate of everyone around him.
=HYPERLINK("https://www.pbs.org/video/blighty-wound-6v8nxh/";"Charité, S02E01, Blighty Wound")			00:50:13			TV-MA	Medical student Anni and her husband Artur, a pediatrician, are seen as the model Aryan couple: they are young, healthy, and toe the party line. Artur is conducting research crucial to the war effort. How do they treat a suspected deserter?
=HYPERLINK("https://www.pbs.org/video/a-difficult-birth-xbjrb2/";"Charité, S02E02, A Difficult Birth")			00:50:10			TV-MA	Because he must tend to Magda Goebbels, who just suffered a miscarriage, the head of the gynecology ward is late to the delivery room and Anni almost bleeds to death, her lifeless newborn being revived at the last moment.
=HYPERLINK("https://www.pbs.org/video/last-hope-fzioi4/";"Charité, S02E03, Last Hope")			00:50:53			TV-MA	After Anni secretly reads the records of Artur's vaccination experiments, she realizes that all his test subjects are disabled, and that none have survived. What does that mean for their own baby, still struggling after a difficult birth?
=HYPERLINK("https://www.pbs.org/video/buried-bd0gwl/";"Charité, S02E04, Buried")			00:50:53			TV-MA	Nurse Christel notices the small gestures of affection between Martin and Otto in their day-to-day encounters. Meanwhile, Karin's cerebral pressure begins to rise once more.
=HYPERLINK("https://www.pbs.org/video/underground-ingyex/";"Charité, S02E05, Underground")			00:50:36			TV-MA	Denounced as a deviant, Otto goes into hiding. This allows him to care for Karin, hidden away by Anni when she learns that Artur intended to transfer her to the specialized children's care unit. An attempt is made on Hitler’s life.
=HYPERLINK("https://www.pbs.org/video/zero-hour-s5gvtm/";"Charité, S02E06, Zero Hour")			00:51:14			TV-MA	Wounded soldiers and air-raid victims are being treated day and night by Sauerbruch and his staff. There is no water, no electricity, no drugs or material for dressing wounds, and the Russians are coming.
=HYPERLINK("https://www.pbs.org/video/the-iron-lung-8nmn8p/";"Charité, S03E01, The Iron Lung")			00:48:11			TV-MA	As doctors and medical personnel leave the GDR for West Berlin, Dr. Ella Wendt is transferred to Charite. Despite the hardships in the East, Ella is excited by the chance to work with the renowned serologist and pathologist Otto Prokop
=HYPERLINK("https://www.pbs.org/video/bloodsuckers-pv1p4v/";"Charité, S03E02, Bloodsuckers")			00:49:35			TV-MA	Ella takes advantage of her department’s lack of supervision to further her cancer research. Dr. Prokop considers why a corpse shows signs of human bite marks. An infant is endangered by the distance between Pediatrics and Gynecology.
=HYPERLINK("https://www.pbs.org/video/thresholds-bow5sz/";"Charité, S03E03, Thresholds")			00:49:33			TV-MA	In cloak-and-dagger style, the provisional Wall is erected thus turning the Charite into border territory. The hospital’s staff react in differing ways, but they must continue to provide care. Prokop returns from Vienna with troubling news.
=HYPERLINK("https://www.pbs.org/video/breathless-sz444z/";"Charité, S03E04, Breathless")			00:49:05			TV-MA	The body of the first person killed on the Wall is discovered; Ella is terrified that it is Curt. Dr. Nowack and Ella disagree on a diagnosis, and what Prokop finds during the autopsy has political repercussions. Ella is reinspired.
=HYPERLINK("https://www.pbs.org/video/sepsis-igqfis/";"Charité, S03E05, Sepsis")			00:49:48			TV-MA	Dr. Nowack is named the new head of internal medicine, thanks to his silence in the case of the Wismut patient. Ella withdraws and tries to concentrate on her research. Two patients need a single ration of Penicillin.
=HYPERLINK("https://www.pbs.org/video/heart-flutters-hzfc4t/";"Charité, S03E06, Heart Flutters")			00:48:50			TV-MA	Ella is scheduled to attend a research congress in West Berlin, but Nowack must vouch for her. Both know it might cost him his job should Ella not return. Kraatz and Rapoport discuss plans for a shared women’s and children’s ward.
=HYPERLINK("https://www.pbs.org/show/dresden-detectives/";"Dresden Detectives")	1	9		Drama	German		Karin Gorniak and Henni Sieland are detectives with their fingers on the pulse of crime, as different and unpredictable as the cases they solve. The tension between the two women, which stems from their different backgrounds and investigative styles, drives the cases forward and pushes them to their limits–both private and professional. In German.
=HYPERLINK("https://www.pbs.org/video/episode-1-4plka3/";"Dresden Detectives, S01E01, Hit Song")			01:28:29			TV-MA	A popular singer is found slain during rehearsals. It’s a gruesome murder in a world that many fans view as a safe haven.
=HYPERLINK("https://www.pbs.org/video/episode-2-flytdf/";"Dresden Detectives, S01E02, The King of the Gutters")			01:25:40			TV-MA	The detectives investigate the murder of a social entrepreneur who turned caring for the homeless into an astonishingly lucrative business.
=HYPERLINK("https://www.pbs.org/video/episode-3-1rwfqc/";"Dresden Detectives, S01E03, Level X")			01:27:12			TV-MA	When a prankster is shot while live streaming on the Internet, the detectives must dive deep into the yet unexplored world of social media stars.
=HYPERLINK("https://www.pbs.org/video/episode-4-qv1zzn/";"Dresden Detectives, S01E04, Eye for an Eye")			01:26:30			TV-MA	The detectives must investigate a murder in the world of insurance, where, under high pressure, profits are fought for with dubious methods.
=HYPERLINK("https://www.pbs.org/video/episode-5-w4fgfe/";"Dresden Detectives, S01E05, Déjà vu")			01:28:07			TV-MA	The body of a child who had disappeared is found in a bag on the riverbank. The detectives are confronted with the emotional impact of such an act.
=HYPERLINK("https://www.pbs.org/video/episode-6-tlqaju/";"Dresden Detectives, S01E06, Tender Trap")			01:28:49			TV-MA	A student is strangled, as a revenge for scamming men in an online dating portal. The detectives go undercover, but the situation soon escalates.
=HYPERLINK("https://www.pbs.org/video/episode-7-bg5q9o/";"Dresden Detectives, S01E07, The Nest")			01:27:09			TV-MA	Gorniak is injured by a murderer, and her life is in danger if he walks free. She and Winkler must put aside their differences to stop the killer.
=HYPERLINK("https://www.pbs.org/video/episode-8-iglymh/";"Dresden Detectives, S01E08, Nemesis")			01:26:33			TV-MA	When a well-known Dresden restaurateur is murdered, the inspectors must investigate organized crime. Will they be able to save his wife and children?
=HYPERLINK("https://www.pbs.org/video/episode-9-snzasp/";"Dresden Detectives, S01E09, The Time Has Come")			01:28:30			TV-MA	A couple with a criminal history wants to escape and start anew when a neighbor is found dead, but the affair turns into an unplanned hostage-taking.
=HYPERLINK("https://www.pbs.org/show/finding-home/";"Finding Home")	1	4		Drama	Danish		Fifteen-year-old Marie's father is a sailor, lost for three years and presumed dead by all but her. When her younger siblings are adopted, Marie disguises herself and signs on as a deck boy on the ship they are boarding to avoid being left alone. Can she find her father and reunite her family? In Danish.
=HYPERLINK("https://www.pbs.org/video/episode-1-s4qt8a/";"Finding Home, S01E01, Episode 1")			00:36:14			TV-MA	To avoid being separated from her younger brother and sister, Marie disguises herself and joins her siblings on a ship as a deck boy. Will she hold her own and avoid suspicion?
=HYPERLINK("https://www.pbs.org/video/episode-2-qkcjyo/";"Finding Home, S01E02, Episode 2")			00:36:32			TV-MA	A bitter rivalry develops between Marie and Vinkel. Meanwhile, she remains focused on reuniting her family but risks losing her cover.
=HYPERLINK("https://www.pbs.org/video/episode-3-9apofs/";"Finding Home, S01E03, Episode 3")			00:37:36			TV-MA	A storm hits the boat on the way to Iceland. Hans agrees to help Marie on a certain condition, but finding her father won’t be as simple as she hoped.
=HYPERLINK("https://www.pbs.org/video/episode-4-evjddv/";"Finding Home, S01E04, Episode 4")			00:38:05			TV-MA	Hans and Marie come closer. Karl and Sofie get used to their new family, and Marie tries to find her place in the world as a woman.
=HYPERLINK("https://www.pbs.org/show/giovannas-journey-winds-passion/";"Giovanna's Journey (Winds of Passion)")	2	16		Drama	Italian		After learning that she was kidnapped as an infant, Giovanna travels through Italy to discover the truth about her real family. In Italian.
=HYPERLINK("https://www.pbs.org/video/episode-1-uisclc/";"Giovanna's Journey (Winds of Passion), S01E01, Episode 1")			00:45:36			TV-MA	Giovanna’s parents have died--and they've disinherited her. When she finds a photo of herself as a newborn in the arms of another woman, she leaves Naples for Lido Ligure.
=HYPERLINK("https://www.pbs.org/video/episode-2-kbwbdn/";"Giovanna's Journey (Winds of Passion), S01E02, Episode 2")			00:45:51			TV-MA	In Lido Ligure, Vito and Marisella are getting married, Saro and Giuseppina are in love and business for Vito and Sofia is booming. Everything seems perfect--until they’re forced to face the injustices of a prejudiced world.
=HYPERLINK("https://www.pbs.org/video/episode-3-wni4g9/";"Giovanna's Journey (Winds of Passion), S01E03, Episode 3")			00:43:51			TV-MA	While Giovanna tries to get closer to the truth about her mother, feelings develop between her and Franco. Thanks to Saro, Marisella wins her family’s support. Saro’s attention, however, makes Giuseppina jealous.
=HYPERLINK("https://www.pbs.org/video/episode-4-3ljttj/";"Giovanna's Journey (Winds of Passion), S01E04, Episode 4")			00:44:10			TV-MA	Despite the attempts of Calligaris to close the case, the investigation into Vito's murder seems to come to a turning point.
=HYPERLINK("https://www.pbs.org/video/episode-5-wr7mec/";"Giovanna's Journey (Winds of Passion), S01E05, Episode 5")			00:44:34			TV-MA	Giovanna has finally found her mother and is determined to discover the truth about what happened to the woman 20 years earlier. When she asks Franco for help, he declares his love for her and asks her for a second chance.
=HYPERLINK("https://www.pbs.org/video/episode-6-x41vng/";"Giovanna's Journey (Winds of Passion), S01E06, Episode 6")			00:41:17			TV-MA	Saro manages to get the warrant to arrest his brother's killer. The capture of the man, however, only deepens the mystery of Vito's murder. In a racist and corrupt system, it is not easy to know who to trust to find the truth.
=HYPERLINK("https://www.pbs.org/video/episode-7-cfgm4a/";"Giovanna's Journey (Winds of Passion), S01E07, Episode 7")			00:44:17			TV-MA	Calligaris reveals to Franco that he is involved in Anna Spada's past, but Giovanna questions Calligaris’s honesty--her mother’s memories, in fact, have started to resurface and tell another truth.
=HYPERLINK("https://www.pbs.org/video/episode-8-cn5otk/";"Giovanna's Journey (Winds of Passion), S01E08, Episode 8")			00:44:29			TV-MA	Saro can no longer hide his love for Marisella. Meanwhile, the investigation into Vito's murder seems to have reached a dead end when, unexpectedly, a new trail opens.
=HYPERLINK("https://www.pbs.org/video/episode-1-fb4rr1/";"Giovanna's Journey (Winds of Passion), S02E01, Episode 1")			00:44:38			TV-MA	Giordano left Giovanna a clue that could help her uncover the truth. Franco decides to help her despite the warnings of his godfather, Calligaris.
=HYPERLINK("https://www.pbs.org/video/episode-2-uffxu9/";"Giovanna's Journey (Winds of Passion), S02E02, Episode 2")			00:42:36			TV-MA	As Giovanna goes to visit her mother, Marisella returns to take revenge on Calligaris. Meanwhile, Sofia continues to be ostracized by the community.
=HYPERLINK("https://www.pbs.org/video/episode-3-winlb5/";"Giovanna's Journey (Winds of Passion), S02E03, Episode 3")			00:42:56			TV-MA	After finding out who killed Vito, Saro seeks out Marisella. Giovanna questions her mother about the pianola, and Franco has a shocking revelation.
=HYPERLINK("https://www.pbs.org/video/episode-4-p6mdw3/";"Giovanna's Journey (Winds of Passion), S02E04, Episode 4")			00:44:25			TV-MA	As Giovanna uncovers the truth about Anna and the ‘A’ engraved on her side, Giuseppina is devastated by Marisella’s revelation. Can she forgive her?
=HYPERLINK("https://www.pbs.org/video/episode-5-2ho6ms/";"Giovanna's Journey (Winds of Passion), S02E05, Episode 5")			00:43:49			TV-MA	Giovanna promises to let go of the past if Franco pulls through. Calligaris gets desperate. Saro is determined to find out who attacked Franco.
=HYPERLINK("https://www.pbs.org/video/episode-6-8nsbzs/";"Giovanna's Journey (Winds of Passion), S02E06, Episode 6")			00:43:29			TV-MA	Saro’s heroics are rewarded with a promotion. Giuseppina decides to seek her revenge by destroying the happiness of Saro and Marisella.
=HYPERLINK("https://www.pbs.org/video/episode-7-pvw6lx/";"Giovanna's Journey (Winds of Passion), S02E07, Episode 7")			00:43:31			TV-MA	In Naples, Giovanna and Marisella try to start a new life and leave the past behind. Meanwhile, Saro and Giuseppina are about to get married.
=HYPERLINK("https://www.pbs.org/video/episode-8-tkbrac/";"Giovanna's Journey (Winds of Passion), S02E08, Episode 8")			00:45:56			TV-MA	Saro and Franco decide to win back the women they love, but, unbeknownst to them, an invisible enemy continues to threaten their happiness.
=HYPERLINK("https://www.pbs.org/show/hotel-europa/";"Hotel Europa")	1	2		Drama	German		Based on actual events that helped shape Germany between the wars, this is the dramatic chronicle of a hotel frequented by Charlie Chaplin, Konrad Adenauer, and Adolf Hitler. In German.
=HYPERLINK("https://www.pbs.org/video/episode-1-sjl1va/";"Hotel Europa, S01E01, Episode 1")			01:29:12			TV-MA	Emil returns from the front traumatized and full of reproach toward his family in the Hotel Dreesen am Rhein--which has become a hotspot for the French army, post WWI.
=HYPERLINK("https://www.pbs.org/video/episode-2-dtarxm/";"Hotel Europa, S01E02, Episode 2")			01:31:21			TV-MA	The hotel is taken over by the Nazi party as Germany begins its political descent. Emil’s strategy of modernization seems to be working.
=HYPERLINK("https://www.pbs.org/show/love-and-sacrifice/";"Love and Sacrifice")	3	34		Drama	Italian		Set against the striking backdrop of the Carrara marble quarries, this is the story of Brando and his revolt to improve working conditions across Italy. Will love blind him from his mission, or embolden him to push further? In Italian.
=HYPERLINK("https://www.pbs.org/video/episode-1-9rvyps/";"Love and Sacrifice, S01E01, Episode 1")			00:42:53			TV-MA	When a worker gets killed by a slab of marble, the rift between the rich and poor becomes a fighting ground for workers' rights.
=HYPERLINK("https://www.pbs.org/video/episode-2-k1xcm2/";"Love and Sacrifice, S01E02, Episode 2")			00:51:47			TV-MA	Brando's antics get his dismissed from the quarry.
=HYPERLINK("https://www.pbs.org/video/episode-3-gwbjef/";"Love and Sacrifice, S01E03, Episode 3")			00:46:03			TV-MA	Brando discovers a spy that could leave his plan dead in the water.
=HYPERLINK("https://www.pbs.org/video/episode-4-lyfgdh/";"Love and Sacrifice, S01E04, Episode 4")			00:41:46			TV-MA	Brando hatches a plan to uncover the spy and has unexpected encounter with Mrs. Corradi.
=HYPERLINK("https://www.pbs.org/video/episode-5-hvclce/";"Love and Sacrifice, S01E05, Episode 5")			00:46:51			TV-MA	Brando refuses to sell his sculpture to the Corradis, and his sister desires to be a chef.
=HYPERLINK("https://www.pbs.org/video/episode-6-xbd7jf/";"Love and Sacrifice, S01E06, Episode 6")			00:40:37			TV-MA	Silvia gets caught in the protests and is taken away before Brando can help.
=HYPERLINK("https://www.pbs.org/video/episode-7-j2rzza/";"Love and Sacrifice, S01E07, Episode 7")			00:45:36			TV-MA	After releasing Brando, the quarry owners try to undermine the workers with a low offer.
=HYPERLINK("https://www.pbs.org/video/episode-8-54cq3y/";"Love and Sacrifice, S01E08, Episode 8")			00:40:04			TV-MA	After learning that Brando has tuberculosis, Silvia seeks out a doctor to cure him.
=HYPERLINK("https://www.pbs.org/video/episode-9-vekvkj/";"Love and Sacrifice, S01E09, Episode 9")			00:42:35			TV-MA	A suspicious Corrado tails Silvia to Switzerland, where she tries to get Brando help.
=HYPERLINK("https://www.pbs.org/video/episode-10-4ibdwh/";"Love and Sacrifice, S01E10, Episode 10")			00:44:29			TV-MA	Silvia confesses to Corrado about her relationship with Brando.
=HYPERLINK("https://www.pbs.org/video/episode-11-cudnp0/";"Love and Sacrifice, S01E11, Episode 11")			00:49:03			TV-MA	Brando is sent to the Swiss clinic and begins his treatment – albeit under false pretenses.
=HYPERLINK("https://www.pbs.org/video/episode-12-jgyhsf/";"Love and Sacrifice, S01E12, Episode 12")			00:48:16			TV-MA	Brando begins to settle in at the clinic. In Carrara, the political race has just begun.
=HYPERLINK("https://www.pbs.org/video/episode-1-pnbm6u/";"Love and Sacrifice, S02E01, Episode 1")			00:47:44			TV-MA	Brando gets news that he's recovering well, but an unexpected visitor throws him off-course.
=HYPERLINK("https://www.pbs.org/video/episode-2-zsqneo/";"Love and Sacrifice, S02E02, Episode 2")			00:51:25			TV-MA	Lucchesi's secret becomes known to his enemies, but how will they use it against him?
=HYPERLINK("https://www.pbs.org/video/episode-3-iuuq6p/";"Love and Sacrifice, S02E03, Episode 3")			00:51:29			TV-MA	When she gets dismissed from her work, Maddalena receives a gift from Silvia.
=HYPERLINK("https://www.pbs.org/video/episode-4-rnuf1i/";"Love and Sacrifice, S02E04, Episode 4")			00:41:21			TV-MA	Maddalena gets arrested when she tries to sell the necklace and only Silvia can help her.
=HYPERLINK("https://www.pbs.org/video/episode-5-bclj8m/";"Love and Sacrifice, S02E05, Episode 5")			00:46:25			TV-MA	Silvia is desperate to see her son. When she goes missing, Corrado fears the worst.
=HYPERLINK("https://www.pbs.org/video/episode-6-bt3ld6/";"Love and Sacrifice, S02E06, Episode 6")			00:47:28			TV-MA	After helping her nephew, Ms. Maffei is fired from the job she held for 20 years.
=HYPERLINK("https://www.pbs.org/video/episode-7-domain/";"Love and Sacrifice, S02E07, Episode 7")			00:50:01			TV-MA	Giosue's death weighs on Brando and Lucrezia. Meanwhile, the Corradis keep up appearances.
=HYPERLINK("https://www.pbs.org/video/episode-8-uistb6/";"Love and Sacrifice, S02E08, Episode 8")			00:49:30			TV-MA	Ms. Maffei's new wellness center is a success and attracting very important people
=HYPERLINK("https://www.pbs.org/video/episode-9-l0xakd/";"Love and Sacrifice, S02E09, Episode 9")			00:43:51			TV-MA	Maddalena goes to visit Brando and learns about Lucrezia.
=HYPERLINK("https://www.pbs.org/video/episode-10-lmg5lo/";"Love and Sacrifice, S02E10, Episode 10")			00:43:59			TV-MA	Lucrezia and Brando are expecting a baby. A new railway project is underway.
=HYPERLINK("https://www.pbs.org/video/episode-1-6xrnzu/";"Love and Sacrifice, S03E01, Episode 1")			00:44:25			TV-MA	Lucrezia is determined to follow her heart. Maddalena applies for a new post. With Corrado and Silvia’s help, Alberto decides what to do with Nora.
=HYPERLINK("https://www.pbs.org/video/episode-2-qri77y/";"Love and Sacrifice, S03E02, Episode 2")			00:52:04			TV-MA	Lucrezia and Brando return to Carrara. Following Sister Agnese’s threats, Leopoldo helps Alessandro. Nana is reunited with a woman from her childhood.
=HYPERLINK("https://www.pbs.org/video/episode-3-1yfntk/";"Love and Sacrifice, S03E03, Episode 3")			00:46:27			TV-MA	The police question Alberto. Brando returns to Annibale, and his sculpture. Silvia, devastated by Brando’s return, confides in Maddalena.
=HYPERLINK("https://www.pbs.org/video/episode-4-lymtjk/";"Love and Sacrifice, S03E04, Episode 4")			00:46:32			TV-MA	Annibale gives Brando reign over the Montesacro quarries. Brando introduces Lucrezia to his family, but things won’t be as simple as they hope.
=HYPERLINK("https://www.pbs.org/video/episode-5-06tmmt/";"Love and Sacrifice, S03E05, Episode 5")			00:54:13			TV-MA	Lucrezia has been kidnapped--Brando does whatever he can to find her. Alessandro tries to understand his origin. Silvia struggles with her heartbreak.
=HYPERLINK("https://www.pbs.org/video/episode-6-vip3ep/";"Love and Sacrifice, S03E06, Episode 6")			00:44:57			TV-MA	Alessandro is jealous of the attention Nana gets from her fans. Brando turns down an offer by the Count. The day of the wedding is finally here.
=HYPERLINK("https://www.pbs.org/video/episode-7-hbqy7e/";"Love and Sacrifice, S03E07, Episode 7")			00:45:08			TV-MA	After Silvia’s faint, Brando reveals to Lucrezia he was once Silvia’s lover. Guendalina wants to get rid of Nora, but can she have a change of heart?
=HYPERLINK("https://www.pbs.org/video/episode-8-1zpz06/";"Love and Sacrifice, S03E08, Episode 8")			00:48:20			TV-MA	Guendalina asks her father for help. Corrado gets revenge on Silvia and Brando by forbidding him from using the railroad, but the workers retaliate.
=HYPERLINK("https://www.pbs.org/video/episode-9-umaeou/";"Love and Sacrifice, S03E09, Episode 9")			00:47:07			TV-MA	Alessandro leaves for Turin with Nana, while Anna goes to Sicily. The war breaks out. Alberto is still desperately looking for his daughter.
=HYPERLINK("https://www.pbs.org/video/episode-10-nhnivf/";"Love and Sacrifice, S03E10, Episode 10")			00:46:56			TV-MA	Livio plans to open an armaments factory. In a women’s anti-war protest, Silvia helps Lucrezia. Corrado reveals a big secret that changes everything.
=HYPERLINK("https://www.pbs.org/video/episode-11-m7bmk7/";"Love and Sacrifice, S03E11, Episode 11")			00:44:46			TV-MA	Brando is torn between his life with Lucrezia and what could’ve been with Silvia. As Tommaso and Maddalena get engaged, the men are called to war.
=HYPERLINK("https://www.pbs.org/video/episode-12-gpe26e/";"Love and Sacrifice, S03E12, Episode 12")			00:48:39			TV-MA	The war continues to impact everyone involved. Lucrezia reaches a breaking point and proposes something to Brando. Will he finally let one of them go?
=HYPERLINK("https://www.pbs.org/show/luisa-spagnoli-queen-chocolate/";"Luisa Spagnoli - Queen of Chocolate")	1	4		Drama	Italian		What do the 1920’s, world-famous Perugina chocolate, angora rabbits and high-end tailoring have in common? One woman: Luisa Spagnoli. Teeming with entrepreneurial spirit and endowed with extraordinary modernity and creativity, she made her mark in an environment unfriendly to powerful, visionary women. In Italian.
=HYPERLINK("https://www.pbs.org/video/episode-1-2cwr5d/";"Luisa Spagnoli - Queen of Chocolate, S01E01, Episode 1")			00:51:40			TV-MA	Luisa falls in love with a musician as Italy's men are drafted for the war.
=HYPERLINK("https://www.pbs.org/video/episode-2-vo7ogu/";"Luisa Spagnoli - Queen of Chocolate, S01E02, Episode 2")			00:58:52			TV-MA	After the success of her sweet shop, Luisa seeks to fulfil other ambitions.
